date,fac_b,total_vehicles,cash,ezpass,violation,autos,small_t,large_t,buses,violationrate,avg_speed,delta,awnd,prcp,snow,snwd,tmax,tmin,severe_event_count,severe_flag,gas_price,ezpass_ratio,high_violation
1/16/2015,Holland,43638,7967,34765,907,41537,1498,21,582,0.020784637,null,null,15.88,0,0,0,44,19,0,0,null,0.796668042,0
1/16/2015,Lincoln,51945,6954,43751,1241,41398,2939,577,7031,0.023890654,null,null,15.88,0,0,0,44,19,0,0,null,0.842256233,0
1/16/2015,Outerbridge,37798,4085,32403,1310,35064,1171,1469,94,0.034657918,null,null,15.88,0,0,0,44,19,0,0,null,0.85726758,0
1/17/2015,Bayonne,14,2,10,2,13,1,0,0,0.142857143,null,null,7.61,0,0,0,30,15,0,0,null,0.714285714,1
1/17/2015,GWB Lower,47529,8929,36588,2012,47247,50,14,218,0.04233205,null,null,7.61,0,0,0,30,15,0,0,null,0.769803699,0
1/17/2015,GWB PIP,17240,2036,14733,471,17207,11,0,22,0.027320186,null,null,7.61,0,0,0,30,15,0,0,null,0.854582367,0
1/17/2015,GWB Upper,62882,16343,45247,1292,57696,1603,2942,641,0.02054642,null,null,7.61,0,0,0,30,15,0,0,null,0.719554085,0
1/17/2015,Goethals,40191,7774,31410,1007,38765,632,647,147,0.025055361,null,null,7.61,0,0,0,30,15,0,0,null,0.78151825,0
1/17/2015,Holland,40039,9211,30020,808,39229,569,7,234,0.020180324,null,null,7.61,0,0,0,30,15,0,0,null,0.749768975,0
1/17/2015,Lincoln,50756,9296,40343,1117,46173,993,206,3384,0.02200725,null,null,7.61,0,0,0,30,15,0,0,null,0.794841989,0
1/17/2015,Outerbridge,36987,4928,30828,1231,35815,514,565,93,0.033281964,null,null,7.61,0,0,0,30,15,0,0,null,0.833482034,0
1/18/2015,Bayonne,3072,445,2565,62,2994,47,24,7,0.020182292,null,null,5.59,1.84,0,0,40,23,7,1,null,0.834960938,0
1/18/2015,GWB Lower,33984,5841,26565,1578,33759,31,4,190,0.046433616,null,null,5.59,1.84,0,0,40,23,7,1,null,0.781691384,0
1/18/2015,GWB PIP,9208,904,7985,319,9178,14,0,16,0.034643788,null,null,5.59,1.84,0,0,40,23,7,1,null,0.867180712,0
1/18/2015,GWB Upper,40940,11403,28708,830,37978,530,2090,342,0.020273571,null,null,5.59,1.84,0,0,40,23,7,1,null,0.701221299,0
1/18/2015,Goethals,24852,4909,19371,572,24262,219,290,81,0.023016256,null,null,5.59,1.84,0,0,40,23,7,1,null,0.77945437,0
1/18/2015,Holland,31487,7012,23784,691,31024,238,4,221,0.021945565,null,null,5.59,1.84,0,0,40,23,7,1,null,0.755359355,0
1/18/2015,Lincoln,35185,6481,28017,687,32426,460,126,2173,0.019525366,null,null,5.59,1.84,0,0,40,23,7,1,null,0.796276823,0
1/18/2015,Outerbridge,22790,2992,19053,745,22266,167,277,80,0.032689776,null,null,5.59,1.84,0,0,40,23,7,1,null,0.836024572,0
1/19/2015,Bayonne,6821,716,5917,188,6293,237,254,37,0.027561941,null,null,14.09,0,0,0,43,34,0,0,null,0.867468113,0
1/19/2015,GWB Lower,52957,7952,43309,1696,52651,98,17,191,0.032025983,null,null,14.09,0,0,0,43,34,0,0,null,0.817814453,0
1/19/2015,GWB PIP,20668,1823,18387,458,20627,9,0,32,0.022159861,null,null,14.09,0,0,0,43,34,0,0,null,0.889636153,0
1/19/2015,GWB Upper,61162,12840,46941,1382,50440,3533,6535,654,0.022595729,null,null,14.09,0,0,0,43,34,0,0,null,0.767486348,0
1/19/2015,Goethals,39507,5824,32627,1056,36416,1301,1542,248,0.02672944,null,null,14.09,0,0,0,43,34,0,0,null,0.825853646,0
1/19/2015,Holland,37791,7466,29544,781,36421,1071,8,291,0.020666296,null,null,14.09,0,0,0,43,34,0,0,null,0.781773438,0
1/19/2015,Lincoln,48153,6550,40597,1006,40614,2152,435,4952,0.020891741,null,null,14.09,0,0,0,43,34,0,0,null,0.843083505,0
1/19/2015,Outerbridge,39249,4206,33695,1348,36841,1035,1255,118,0.034344824,null,null,14.09,0,0,0,43,34,0,0,null,0.85849321,0
1/20/2015,Bayonne,7937,668,7075,194,7223,338,330,46,0.024442485,null,null,9.17,0,0,0,42,31,0,0,null,0.891394734,0
1/20/2015,GWB Lower,49764,6306,41795,1663,49396,125,24,219,0.033417732,null,null,9.17,0,0,0,42,31,0,0,null,0.839864159,0
1/20/2015,GWB PIP,19795,1630,17649,516,19708,9,2,76,0.026067189,null,null,9.17,0,0,0,42,31,0,0,null,0.891588785,0
